"cell_num"	"coverage_mean"	"coverage_variance"	"eff_seq_err_rate"	"ado_rate"	"deletion_rate"	"insertion_rate"	"dataset"	"tool"	"snv_type"	"tool_setup"	"fine_tune_type"	"data_type"	"inferred_tree"	"real_tree"	"max_clades"	"RF_distance"	"normalized_RF_distance"	"weighted_RF_distance"	"normalized_weighted_RF_distance"	"rooted_branch_score_difference"
40	5	20	0.001999	0.3	2e-06	0	1	"sciphi"	"candidate_snvs"	NA	NA	"no_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_205/benchmark_results/sciphi/no_cnv/0001/sciphi/best_index/tree.nexus"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_205/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0001"	76	20	0.263157894736842	NA	NA	NA
40	5	20	0.001999	0.3	2e-06	0	2	"sciphi"	"candidate_snvs"	NA	NA	"no_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_205/benchmark_results/sciphi/no_cnv/0002/sciphi/best_index/tree.nexus"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_205/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0002"	76	12	0.157894736842105	NA	NA	NA
40	5	20	0.001999	0.3	2e-06	0	3	"sciphi"	"candidate_snvs"	NA	NA	"no_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_205/benchmark_results/sciphi/no_cnv/0003/sciphi/best_index/tree.nexus"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_205/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0003"	76	30	0.394736842105263	NA	NA	NA
40	5	20	0.001999	0.3	2e-06	0	4	"sciphi"	"candidate_snvs"	NA	NA	"no_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_205/benchmark_results/sciphi/no_cnv/0004/sciphi/best_index/tree.nexus"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_205/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0004"	76	18	0.236842105263158	NA	NA	NA
40	5	20	0.001999	0.3	2e-06	0	5	"sciphi"	"candidate_snvs"	NA	NA	"no_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_205/benchmark_results/sciphi/no_cnv/0005/sciphi/best_index/tree.nexus"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_205/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0005"	76	28	0.368421052631579	NA	NA	NA
40	5	20	0.001999	0.3	2e-06	0	6	"sciphi"	"candidate_snvs"	NA	NA	"no_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_205/benchmark_results/sciphi/no_cnv/0006/sciphi/best_index/tree.nexus"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_205/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0006"	76	20	0.263157894736842	NA	NA	NA
40	5	20	0.001999	0.3	2e-06	0	7	"sciphi"	"candidate_snvs"	NA	NA	"no_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_205/benchmark_results/sciphi/no_cnv/0007/sciphi/best_index/tree.nexus"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_205/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0007"	76	14	0.184210526315789	NA	NA	NA
40	5	20	0.001999	0.3	2e-06	0	8	"sciphi"	"candidate_snvs"	NA	NA	"no_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_205/benchmark_results/sciphi/no_cnv/0008/sciphi/best_index/tree.nexus"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_205/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0008"	76	14	0.184210526315789	NA	NA	NA
40	5	20	0.001999	0.3	2e-06	0	9	"sciphi"	"candidate_snvs"	NA	NA	"no_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_205/benchmark_results/sciphi/no_cnv/0009/sciphi/best_index/tree.nexus"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_205/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0009"	76	20	0.263157894736842	NA	NA	NA
40	5	20	0.001999	0.3	2e-06	0	10	"sciphi"	"candidate_snvs"	NA	NA	"no_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_205/benchmark_results/sciphi/no_cnv/0010/sciphi/best_index/tree.nexus"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_205/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0010"	76	18	0.236842105263158	NA	NA	NA
